,nanPerc,nullPerc,mean,stdev,min,25%,50%,75%,95%,97.5%,max
732.0,0.0,99.9,0.0,0.1,0,0,0,0,0,0,2
670.0,0.0,99.9,0.0,0.1,0,0,0,0,0,0,5
724.0,0.0,99.7,0.0,0.1,0,0,0,0,0,0,1
730.0,0.0,99.7,0.0,0.1,0,0,0,0,0,0,2
728.0,0.0,99.6,0.0,0.1,0,0,0,0,0,0,2
720.0,0.0,99.6,0.0,0.1,0,0,0,0,0,0,2
726.0,0.0,99.7,0.0,0.1,0,0,0,0,0,0,5
712.0,0.0,99.6,0.0,0.1,0,0,0,0,0,0,3
719.0,0.0,99.5,0.0,0.1,0,0,0,0,0,0,2
715.0,0.0,99.4,0.0,0.1,0,0,0,0,0,0,3
716.0,0.0,99.6,0.0,0.1,0,0,0,0,0,0,5
723.0,0.0,99.4,0.0,0.1,0,0,0,0,0,0,3
727.0,0.0,99.6,0.0,0.1,0,0,0,0,0,0,5
722.0,0.0,99.4,0.0,0.1,0,0,0,0,0,0,3
651.0,0.0,99.3,0.0,0.1,0,0,0,0,0,0,3
718.0,0.0,99.4,0.0,0.1,0,0,0,0,0,0,4
725.0,0.0,99.5,0.0,0.2,0,0,0,0,0,0,4
714.0,0.0,99.4,0.0,0.1,0,0,0,0,0,0,3
709.0,0.0,99.4,0.0,0.2,0,0,0,0,0,0,6
708.0,0.0,99.2,0.0,0.1,0,0,0,0,0,0,3
731.0,0.0,99.4,0.0,0.2,0,0,0,0,0,0,4
701.0,0.0,99.0,0.0,0.1,0,0,0,0,0,0,2
679.0,0.0,99.0,0.0,0.1,0,0,0,0,0,0,2
647.0,0.0,99.0,0.0,0.1,0,0,0,0,0,0,4
710.0,0.0,99.2,0.0,0.2,0,0,0,0,0,0,4
705.0,0.0,99.2,0.0,0.2,0,0,0,0,0,0,5
707.0,0.0,98.9,0.0,0.2,0,0,0,0,0,0,3
648.0,0.0,98.7,0.0,0.1,0,0,0,0,0,0,2
678.0,0.0,99.0,0.0,0.2,0,0,0,0,0,0,3
665.0,0.0,98.6,0.0,0.1,0,0,0,0,0,0,2
692.0,0.0,98.9,0.0,0.2,0,0,0,0,0,0,5
695.0,0.0,98.9,0.0,0.2,0,0,0,0,0,0,3
706.0,0.0,98.9,0.0,0.2,0,0,0,0,0,0,5
702.0,0.0,98.7,0.0,0.2,0,0,0,0,0,0,4
704.0,0.0,99.2,0.0,0.3,0,0,0,0,0,0,7
681.0,0.0,98.6,0.0,0.2,0,0,0,0,0,0,3
713.0,0.0,98.9,0.0,0.2,0,0,0,0,0,0,4
700.0,0.0,98.7,0.0,0.2,0,0,0,0,0,0,4
711.0,0.0,98.6,0.0,0.2,0,0,0,0,0,0,4
698.0,0.0,98.7,0.0,0.2,0,0,0,0,0,0,6
562.0,0.0,98.2,0.0,0.2,0,0,0,0,0,0,3
721.0,0.0,98.7,0.0,0.2,0,0,0,0,0,0,4
677.0,0.0,98.5,0.0,0.2,0,0,0,0,0,0,7
697.0,0.0,98.7,0.0,0.2,0,0,0,0,0,0,5
686.0,0.0,98.2,0.0,0.2,0,0,0,0,0,0,4
685.0,0.0,98.6,0.0,0.3,0,0,0,0,0,0,7
699.0,0.0,98.5,0.0,0.2,0,0,0,0,0,0,4
652.0,0.0,98.1,0.0,0.2,0,0,0,0,0,0,6
691.0,0.0,98.6,0.0,0.3,0,0,0,0,0,0,5
694.0,0.0,98.2,0.0,0.3,0,0,0,0,0,0,7
696.0,0.0,98.5,0.0,0.3,0,0,0,0,0,0,9
674.0,0.0,97.4,0.0,0.2,0,0,0,0,0,1,4
717.0,0.0,98.8,0.0,0.5,0,0,0,0,0,0,14
693.0,0.0,97.8,0.0,0.3,0,0,0,0,0,0,5
682.0,0.0,98.2,0.0,0.3,0,0,0,0,0,0,8
703.0,0.0,98.2,0.0,0.4,0,0,0,0,0,0,8
687.0,0.0,97.9,0.0,0.4,0,0,0,0,0,0,13
683.0,0.0,97.8,0.0,0.4,0,0,0,0,0,0,13
690.0,0.0,97.5,0.0,0.3,0,0,0,0,0,1,4
649.0,0.0,96.6,0.0,0.3,0,0,0,0,0,1,5
689.0,0.0,98.3,0.0,0.5,0,0,0,0,0,0,13
538.0,0.0,95.4,0.1,0.3,0,0,0,0,0,1,7
560.0,0.0,95.4,0.1,0.3,0,0,0,0,0,1,5
564.0,0.0,95.8,0.1,0.4,0,0,0,0,0,1,8
650.0,0.0,95.8,0.1,0.4,0,0,0,0,0,1,5
684.0,0.0,97.7,0.1,0.5,0,0,0,0,0,0,11
568.0,0.0,95.2,0.1,0.3,0,0,0,0,0,1,5
557.0,0.0,95.2,0.1,0.4,0,0,0,0,0,1,7
556.0,0.0,94.6,0.1,0.3,0,0,0,0,1,1,5
569.0,0.0,94.6,0.1,0.3,0,0,0,0,1,1,5
565.0,0.0,95.1,0.1,0.4,0,0,0,0,0,1,6
593.0,0.0,94.4,0.1,0.3,0,0,0,0,1,1,4
588.0,0.0,94.1,0.1,0.4,0,0,0,0,1,1,5
642.0,0.0,94.3,0.1,0.4,0,0,0,0,1,1,6
567.0,0.0,93.4,0.1,0.4,0,0,0,0,1,1,5
561.0,0.0,94.6,0.1,0.5,0,0,0,0,1,1,7
566.0,0.0,93.2,0.1,0.4,0,0,0,0,1,1,7
537.0,0.0,92.9,0.1,0.4,0,0,0,0,1,1,4
584.0,0.0,93.2,0.1,0.4,0,0,0,0,1,1,6
536.0,0.0,92.7,0.1,0.4,0,0,0,0,1,1,6
608.0,0.0,93.4,0.1,0.5,0,0,0,0,1,1,7
384.0,0.0,92.4,0.1,0.4,0,0,0,0,1,1,8
646.0,0.0,93.1,0.1,0.5,0,0,0,0,1,1,9
543.0,0.0,91.4,0.1,0.4,0,0,0,0,1,2,4
582.0,0.0,92.7,0.1,0.5,0,0,0,0,1,2,8
409.0,0.0,89.7,0.1,0.4,0,0,0,0,1,1,5
587.0,0.0,91.2,0.1,0.5,0,0,0,0,1,1,5
554.0,0.0,90.0,0.1,0.4,0,0,0,0,1,1,4
578.0,0.0,90.8,0.1,0.4,0,0,0,0,1,1,4
581.0,0.0,92.0,0.1,0.5,0,0,0,0,1,2,6
